"more presumptious","bardziej arogancki"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","metoda kompilacji kilku biografii w celu por¢wnania i zestawienia charakter¢w bohater¢w oraz uzyskania wgl•du w histori©"
"sees working hard as a foolish waste of time","postrzega ci©æk• prac© jako gàupi• strat© czasu"
"Buried alive","Pochowany æywcem"
"Unmet need: ","Potrzeba: "
"This nameless being","Ta bezimienna istota"
"Only farmers harvest","Jedynie rolnicy zbieraj• æniwa"
"molten crystal glass","stopione szkào krysztaàowe"
"speaks in a monotone when ","m¢wi monotonnie, gdy "
"infiltrate society","infiltrowaÜ spoàecze‰stwo"
"Resets","Resetuje"
"the Mausoleum","Mauzoleum"
"the classification of disease","klasyfikacja chor¢b"
"High Precision","Wysoka Precyzja"
"the reproductive behavior of creatures","zachowania reprodukcyjne stworze‰"
"spear","wà¢cznia"
"Loading image sets...","ùadowanie zestaw¢w obraz¢w..."
"Value of temple complex","WartoòÜ kompleksu òwi•tynnego"
"Workers save shells","Pracownicy zachowuj• muszle"
"when full","kiedy peàne"
"Site Map:  Extra Item Occupancy ","Mapa witryny: Zaj©toòÜ dodatkowej pozycji "
" was the place to perform research."," miejsce, gdzie moæna przeprowadzaÜ badania."
"yield","wydajnoòÜ"
"Bowyer","ùuczarz"
"Take me away from here.","Zabierz mnie st•d."
"outside","na zewn•trz"
"kill ","zabiÜ "
"legendary villain","legendarny zàoczy‰ca"
"Tropical Shrubland","Tropikalny Obszar Krzewiasty"
"the acceptance","akceptacja"
"The story of ","OpowieòÜ o "
"the Assumption","Zaàoæenie"
" which was said to permeate "," kt¢ry miaà przenikaÜ "
", Pressed","tàoczony"
" with the presentation of "," z prezentacj• "
"State that you hate light poems","Stwierdzenie, æe nienawidzisz lekkich wierszy"
"Yes!  It'll be great to perform with you.","Tak!  B©dzie òwietnie razem wyst©powaÜ."
"is very muscular and incredibly long","jest bardzo umi©òniony i niewiarygodnie dàugi"
"Dungeon Commander","Dow¢dca Loch¢w"
" a friend."," przyjaciel."
"after communing with ","po obcowaniu z "
"What stories you tell!  It's such an honor to have you here.","Co za historie opowiadasz! To zaszczyt mieÜ ciebie tutaj."
"modulates frequently","cz©sto moduluje"
" available"," dost©pny"
"Open","Otw¢rz"
"gives a feeling of compassion here and there","daje uczucie wsp¢àczucia tu i tam"
"Civilized World Population","Populacja cywilizowanego òwiata"
"Workers dump bones","Pracownicy wyrzucaj• koòci"
"yarn ","prz©dza "
"Analogy","Analogia"
"A wrestling competition","Zawody zapaònicze"
"The instrument has flue pipes and reed pipes.  ","Instrument posiada piszczaàki i stroiki. "
"sad","smutny"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Upewnij si©, æe parametry i ustawienia wst©pne mog• obsàugiwaÜ obszary o òredniej wysokoòci, bardzo niskich opadach i niezamarzaj•ce. "
"Bad script! #2","Zày skrypt! #2"
"I was in a snow storm.","Byàem w burzy ònieænej."
" property was confiscated"," mienie zostaào skonfiskowane"
"Geld ","Pieni•dze "
"Somebody up to no good...","Ktoò tu nie gra..."
"You unyield","Nie poddajesz si©"
"medicine:method:surgery incision","medycyna:metoda:naci©cie chirurgiczne"
"It is still shrouded in mystery.  ","Jest to wci•æ owiane tajemnic•. "
"worship","kult"
"the Duel","Pojedynek"
"I brought up the lack of jobs in a meeting.","Na spotkaniu poruszyàem kwesti© braku miejsc pracy."
"Crossbowman","Kusznik"
" been stunned again!"," ponownie ogàuszony!"
"Activity section change","Zmiana sekcji aktywnoòci"
"Cage Vermin","Zamknij Robactwo w Klatce"
"I killed somebody in a sparring accident.","Zabiàem kogoò przypadkiem podczas sparringu."
"I have been so wronged!","Tak bardzo mnie skrzywdzono!"
"has a long, thin body with very little fat","ma dàugie, cienkie ciaào z bardzo maà• iloòci• tàuszczu"
" shot and killed "," postrzelony i zabity "
"Austere","Surowy"
" fighting with "," walczy z "
"It is a","To jest"
" (quantitative "," (iloòciowy "
"the area around ","obszar wok¢à "
"has a short, broad body with very little fat","ma niskie, szeropkie ciaào z bardzo maà• iloòci• tàuszczu"
"mottled ","c©tkowany "
"autobiography","autobiografia"
"(Wrestling) Cannot break grip","(Zapasy) Nie moæna zerwaÜ chwytu"
"Choose Y: ","Wybierz Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","W tym miejscu moæesz wchodziÜ w interakcj© z przedmiotami, kt¢re masz przy sobie. Przedmioty moæna upuòciÜ, zaàoæyÜ, zjeòÜ, rzuciÜ, nazwaÜ itp. Wskaz¢wki wyòwietlane przy ikonach opisuj• dost©pne opcje dla kaædego przedmiotu. "
"the use of a grid system in the creation of maps","wykorzystanie systemu siatki w tworzeniu map"
"believes that those that take leisure time are evil and finds the whole idea disgusting","uwaæa, æe ci, kt¢rzy sp©dzaj• wolny czas, s• ´li i uwaæa caà• ide© za obrzydliw•"
"2 lost after mutual wounds","2 straconych po wzajemnych ranach"
"Perfectionist","Perfekcjonista"
" was offered"," zostaà zaoferowany"
" is written from the perspective of "," jest napisany z perspektywy "
"Lever Operation","Obsàuga d´wigni"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Musisz mieÜ co najmniej tyle punkt¢w najwyæszego poziomu wulkanizmu, ile wulkan¢w potrzebujesz. "
"Site Government","Miejscowy Rz•d"
"a barrow","kurhan"
"Skill 5","Umiej©tnoòÜ 5"
"distracted by unmet needs","rozproszony przez niezaspokojone potrzeby"
"Plant gatherers","Zbieracze roòlin"
"The selected workshop will give items to here.","Wybrany warsztat b©dzie tutaj dawaà przedmioty."
"less assertive","mniej asertywny"
"It was great.","To byào òwietne."
" part of the problem."," cz©òÜ problemu."
"The view is dark underground.  You can recenter on yourself with the ","W podziemiach panuje ciemnoòÜ. Moæesz ponownie skupiÜ si© na sobie dzi©ki "
"fragile","delikatny"
"Assign uniform","Przydz. mundur"
"dining hall","stoà¢wka"
"No orders","Brak rozkaz¢w"
"the computation of the volume of different pyramids","obliczanie obj©toòci r¢ænych piramid"
"Absolute zero","Zero absolutne"
"right here","tutaj"
"Storage path decrease (barrel combine)","Zmniejszenie òcieæki przechowywania (element beczek)"
"a noted murderer","wybitny morderca"
" Ice Floor"," Lodowa podàoga "
"Close friend","Bliski przyjaciel"
"Toggle whether the squad will sleep here.","Zaznacz, czy oddziaà b©dzie tutaj spaà."
"Just think about it.","Pomyòl tylko o tym."
" Upward Track (SEW)"," Tor w g¢r© (SEW)"
"What will you say about the journey?","Co powiesz o podr¢æy?"
"losing ","utrata "
"Amount of ","IloòÜ "
"short","niski"
"a pretty decent meal","caàkiem przyzwoity posiàek"
"be jumpy","byÜ nerwowym"
"Slam into an obstacle (blow apart)","Zderzenie z przeszkod• (roztrzaskanie)"
"time","czas"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Kaædy [C:6:0:0]Przystanek[C:7:0:0] musi byÜ przypisany do [C:6:0:0]Magazynu[C:7:0:0] z i do kt¢rego b©d• przenoszone [C:6:0:1]Przedmioty[C:7:0:0]  z[C:6:0:1]Wagonika[C:7:0:0]."
"Initiation","Inicjacja"
"Glowing Floor","ówiec•ca Podàoga"
"being frozen solid","bycie zamroæonym na staàe"
"State minor feeling of acceptance","Stan niewielkiej akceptacji"
"jewels","klejnoty"
"Z Levels Above Ground","Poziomy Z nad ziemi•"
"Sand Collection","Miejsce zbierania Piasku"
"fighting!","walczy!"
"Loading flow guides...","ùadowanie przewodnik¢w przepàywu..."
"Burned up in magma","Spalony w magmie"
"How fleeting life is...","Jak ulotne jest æycie..."
"slayer in incident","zab¢jca w incydencie"
"There are not enough cages and chains.","Nie ma wystarczaj•cej iloòci klatek i àa‰cuch¢w."
"played","zagrane"
"livestock ownership","wàasnoòci trzody"
"Fell into a deep chasm","Spadà w gà©bok• przepaòÜ"
"very large","bardzo duæy"
"certain lines ","pewne linie "
"A migrant has arrived, despite the danger.","Migrant przybyà pomimo niebezpiecze‰stwa."
"blissful","bàogi"
"fortresses","twierdze"
"Highest known in organization","Najbardziej znany w organizacji"
"become softer and softer","staj• si© coraz bardziej mi©kkie"
"'s presence in ","obecnoòÜ w "
"Minor River: ","Mniejsza rzeka: "
"that a criminal could not be properly punished","æe przest©pca nie moæe zostaÜ wàaòciwie ukarany"
"Harrowed","Udr©czony"
"New parameter set","Nowy zestaw parametr¢w"
"the Gamble","Hazard"
"not having any rooms","brak pomieszcze‰"
"nasal","nosowy"
"Not appointed","Nie mianowany"
"Dangerous terrain","Niebezpieczny teren"
"Sixth","Sz¢sty"
"No food to cook or brew (are you in trouble?)","Brak jedzenia do gotowania lub parzenia (masz kàopoty?)"
" goes"," idzie"
"I conducted an official meeting in a bedroom.","Prowadziàem oficjalne spotkanie w sypialni."
"thick","gruby"
"Say goodbye","Powiedz æegnaj "
"pasture","pastwisko"
"Early afternoon","Wczesne popoàudnie"
"closed","zamkni©te"
"Shield User","Tarczownik"
"Winter has arrived on the calendar.","W kalendarzu pojawiàa si© zima."
"right kicks","prawe kopni©cia"
" has given birth to "," urodziàa "
"the Ghost","Duch"
"That's wrong.","To zàe."
" couldn't be much worse."," nie m¢gà byÜ duæo gorszy."
"Concealment","Ukrycie"
"Dead Grass Upward Slope","Martwa trawa na zboczu pod g¢r©"
"Deity","B¢stwo"
" accepts our tribute"," akceptuje nasz• danin©"
" by a dead sibling"," przez zmaràe rodze‰stwo"
"to request work","æ•danie pracy"
"the clash between ","starcie mi©dzy "
"dreams of falling in love","marzenia o zakochaniu"
"is has large muscles on a incredibly broad body","ma wielkie muskuày na niewiarygodnie szerokim ciele"
"(Combat) Gain/lose possession of item","(Walka) Uzyskanie/strata przedmiotu"
"Workers ignore minerals","Pracownicy ignoruj• mineraày"
"Ice Upward Track (NE)","Tor lodowy w g¢r© (NE)"
"Gear assembly","Zesp¢à przekàadni"
"I am very hopeful.","Jestem peàen nadziei. "
"Tropical Moist Broadleaf Forest","Tropikalny Wilgotny Las Liòciasty"
"northeastern","p¢ànocno-wschodni"
"Slate","ùupek"
"Remove this work order.","Usu‰ to zlecenie pracy."
"blows ","ciosy "
"is quite polite","jest doòÜ uprzejmy"
" merchant company from "," firma handlowa z "
"No workers","Brak pracownik¢w"
"This is your deceased spouse.","To tw¢j zmarày maàæonek."
"florid","kwiecisty"
"Grab Ammunition for Building","Amunicja do budynku"
"Critical Thinker","Krytyczny myòliciel"
"philosophy:epistemology:justification","filozofia:epistemologia:uzasadnienie"
"finds the acquisition and use of power abhorrent and would have all masters toppled","uwaæa, æe zdobywanie i wykorzystywanie wàadzy jest odraæaj•ce i chciaàby obaliÜ wszystkich wàadc¢w"
"is long and thin with strong muscles","jest dàugi i cienki z silnymi mi©òniami"
"-Trained-","-Wyszkolony-"
"Persecution of ","Przeòladowanie "
"the sound of ","d´wi©k "
"feeling alienated","czuje si© wyobcowany"
"west","zach¢d"
"items","przedmioty"
"Scraping","Skrobanie"
"feeling servile","czuje sàuæalczoòÜ"
"This creature can be found in ","To stworzenie moæna znale´Ü w "
"don't always receive a reply immediately.  The words of people that are talking to you will be highlighted.  ","Nie zawsze otrzymujesz odpowied´ od razu. Sàowa os¢b, kt¢re si© do Ciebie zwracaj•, zostan• podòwietlone. "
"caught in freakish weather","zàapany w dziwaczn• pogod©"
"the acquisition of a copy of ","nabycie kopii "
" justly slew "," sprawiedliwie zabià "
"I don't have enough armor stands.","Nie mam wystarczaj•co duæo stojak¢w na zbroj©."
"a very good","bardzo dobry"
"the fighting","walk©"
"a sum of patience","suma cierpliwoòci"
"Method","Metoda"
"Ice Track (S)","Tor lodowy (S)"
"claimed artifact given away","oddany artefakt"
" was confiscated"," zostaà skonfiskowany"
"Select this option and any unassigned deceased pets will be buried here automatically.","Zaznacz t© opcj© i kaædy nieprzydzielony, martwy pupil b©dzie pochowany tutaj automatycznie."
"There are many ways to maintain your citizens. ","Jest wiele sposob¢w na podtrzymanie twoich obywateli. "
"metalcrafter","rzemieòlnik metalowiec"
"infamous flatterer","niesàawny pochlebca"
"No longer overwhelmed","Juæ nie przytàoczony"
"no","brak"
"philosophy:metaphysics:causation","filozofia:metafizyka:przyczynowoòÜ"
"Attempted to set world gen presets prior to dimensions","Pr¢bowano ustawiÜ ustawienia generowania òwiata przed wymiarami."
"Pressure Plate","Pàyta naciskowa"
"Melt a metal object","Roztopienie metalowego przedmiotu"
"For lyrics, the composer has selected ","Do tekst¢w kompozytor wybraà "
"State that listener had a good hunt","Stwierdzenie, æe sàuchacz miaà udane polowanie"
"heavy object hauler","tragarz ci©ækich przedmiot¢w"
"the purchase of ","zakup "
"Armor User","Zbrojny"
"somewhere","gdzieò"
"Good with language","Talent do j©zyk¢w"
"Frozen Elsewhere","Zamroæenie gdzieò indziej"
"to provide opportunities for courage to rise","Zapewnienie moæliwoòci wzrostu odwagi"
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","Magazyny moæna umieòciÜ uæywaj•c menu magazynu na dole ekranu."
" currency of "," waluta "
"to make a counter-assertion","zàoæyÜ kontrargument"
" in war if the latter did likewise."," w wojnie, jeòli ci drudzy zrobi• to samo."
"has a thin body with almost no fat on it","ma cienkie ciaào praktycznie bez tàuszczu"
"Refuse to yield","Odmowa poddania si©"
" skill: "," umiej©tnoòÜ "
"deal","transakcja"
"a skilled bard","uzdolniony bard"
"passing through a hole in the "," przelatuj•c przez dziur© w "
"Train (to make a pet) or slaughter","Wytrenuj (aby zmieniÜ w pupila) lub zabij"
"the sword","miecz"
"The battle rages...","Bitwa szaleje..."
"Research","Badania"
"you","ty"
"position","pozycja"
"Noted villain","Znany zàoczy‰ca"
"would be very thin but has opted for some muscle and fat","byàby bardzo cienki, ale optowaà za odrobin• mi©òni i tàuszczu"
"for each month, line up with your chosen routine, go down the column, and press edit on the ","dla kaædego miesi•ca, wybierz lini© z wybran• procedur•, zejd´ w d¢à kolumny i naciònij edytuj na "
"a piece","kawaàek"
" doesn't really care about anything anymore.  "," niezbyt dba juæ o cokolwiek.  "
"Lava Mist","Mgàa lawy"
"Temperate","Umiarkowany"
"No commanders","Brak dow¢dc¢w"
"Attack caught","Atak zàapany"
" one of the first of "," jeden z pierwszych "
"infamous bully","niesàawny zbir"
"Ice Downward Track (NE)","ócieæka w d¢à po lodzie (NE)"
"Ahhhhhhh!  No!","Ohhhhhhh!  Nie!"
"Can the elevation 400 be placed enough times to provide space for your peaks?  ","Czy elewacja 400 moæe byÜ umieszczona wystarczaj•co duæo razy, aby zapewniÜ miejsce na szczyty? "
" received"," otrzymany"
"contemplating ","kontempluje "
" ended the days of "," zako‰czyà dni "
" own mortality and sought to extend "," wàasn• òmiertelnoòÜ i staraà si© przedàuæyÜ "
