"its","øia"
"Burned to death by a ","Bruligita, en morton, de "
"Performer","Interpretisto"
"Scholar","Klerulo"
"Mercenary","Dungosoldato"
"Doctor","Kuracisto"
"Diagnostician","Diagnozisto"
"Surgeon","¦irurgiisto"
"Bone doctor","Ostokuracisto"
"No relationships","Neniu rilato"
"Pet","Dorlotbesto"
"Pet owner","Dorlotmastro"
"Spouse","Ejdzo"
"Mother","Matro"
"Father","Patro"
"Lover","Amanto"
"Child","Filo"
"Bonded","Kunligato"
"Childhood friend","Deinfanaøa amiko"
"War buddy","Militkamarado"
"Obsession","Obsedo"
"Fellow scholar","Kolega klerulo"
"Fellow artist","Kolega belartisto"
"Fellow athlete","Kolega atleto"
"Kindred spirit","Samideano"
"Close friend","Kara amiko"
"Friend","Amiko"
"Athletic rival","Atletika rivalo"
"Business rival","Komerca rivalo"
"Persecutor","Persekutisto"
"Religious persecutor","Religia persekutisto"
"Grudge","Rankoro"
"Jealous grudge","¬aluza rankoro"
"Supernatural vengeance","Supernatura venøo"
"Pure hate","Pura malamo"
"Hated","Malamato"
"Disliked","Malþatato"
"Deity","Dio"
"Force","Forto"
"Object of worship","Objekto de kulto"
"Long-term acquaintance","Malnova konato"
"Passing acquaintance","Nova konato"
"Hero","Heroo"
"Intruder","Entrudiøinto"
"Good for business","Bona por komerco"
"Friendly terms","Amikeca konato"
"Master","Mastro"
"Apprentice","Lernanto"
"Companion","Kunulo"
"Former master","Eksmastro"
"Hunter","Æasisto"
"No groups","Neniu grupo"
"Civilization","Civilizacio"
"Site government","Registaro de loøloko"
"Migrating group","Migranta grupo"
"Nomadic group","Nomada grupo"
"Religion","Religio"
"Military organization","Militorganizo"
"Outcast","Elpelito"
" guild",", Gildo de"
"Former ","Eks "
"Former mercenary","Eksdungosoldato"
"Enemy","Malamiko"
"Criminal","Krimulo"
"Citizen","Civitano"
"Member","Ano"
"Former member","Eksano"
"Slave","Sklavo"
"Former slave","Ekssklavo"
"Prisoner","Malliberulo"
"Former prisoner","Eksmalliberulo"
"Worker","Laboristo"
"Former worker","Ekslaboristo"
"Squad","Taæmento"
"Uniform","Uniformo"
"Kills","Mortigatoj"
"No squad assigned","Neniu asignita taæmento"
"No orders","Neniu ordono"
"Recent thoughts","Freþaj pensoj"
"Memories","Memoroj"
"Values","Valoroj"
"Trap Occupied:","Kaptilo Okupita:"
"Waiting for construction...","Atendante starigo..."
"Construction initiated.","Starigo komencita."
"Partially constructed.","Parte starigita."
"Construction nearly done.","Starigo preskaý finota."
"Construction suspended.","Starigo haltita."
"Construction inactive.","Starigo ne aganta."
"This building has","Æi-konstrua¼o havas"
"been claimed by","estis pretendita de"
"bones...  yes","ostojn... jes"
"a shell","karapaco"
"bars... metal","stangojn... metalajn"
"gems... shining","gemojn... brilajn"
"blocks... bricks...","blokojn... brikojn..."
"leather... skin","ledon... haýton"
"cloth... thread","þtofon... fadenon"
"shells","karapacoj"
"death","morto"
"glass","vitro"
"glass and burning wood","vitro kaj brulanta ligno"
"rough gems and glass","krudaj gemoj kaj vitro"
"rough gems","krudaj gemoj"
"shining bars","lumaj stangoj"
"of metal","el metalo"
"cut gems","faceti gemojn"
"square blocks","kvadrataj blokoj"
"stacked leather","staplita ledo"
"stacked cloth","staplita þtofo"
"Back","Reen"
"Pumps from the north","Pumpas el la nordo"
"Pumps from the east","Pumpas el la oriento"
"Pumps from the south","Pumpas el la sudo"
"Pumps from the west","Pumpas el la okcidento"
"This is a memorial to","Æi tiu estas memorsigno pri"
"   * Requires wild colony or","   * Bezonas sovaøan kolonion aý"
"   * Existing hive","   * Ekzistanta abelujo"
"   * Destroys colony","   * Detruas kolonion"
"   * Requires a jug","   * Bezonas kruæon"
"   * Saves colony for split","   * Savas kolonion por dividado"
"Ready to be split","Preta por dividi"
"Not ready to be split","Ne preta por dividi"
"Too many hives","Tre multaj abelujoj"
"* No output","* Neniu produkta¼o"
"* Output restricted","* Produkta¼o limita"
"Terrarium","Terario"
"Aquarium","Akvario"
"Operated by Mechanisms","Operaciata per Me¶anismoj"
"DOOR TAKEN BY INVADERS","PORDO PRENITA DE INVADULOJ"
"Retake door to forbid it.","Repreni pordon por malpermesi øin."
"DOOR USED BY INTRUDER","PORDO UZITA DE ENTRUDULO"
"HATCH TAKEN BY INVADERS","PLANKPORDO PRENITA DE INVADULOJ"
"Retake hatch to forbid it.","Repreni plankpordon por malpermesi øin."
"HATCH USED BY INTRUDER","PLANKPORDO UZITA DE ENTRUDULO"
"Nest box claimed by","Nestoskatolo pretendita de"
"Nest box unclaimed","Nestoskatolo nepretendita"
"Broker: ","Makleristo: "
"Broker can access depot","Makleristo povas aliri en stacidomon"
"Broker cannot access depot","Makleristo ne povas aliri en stacidomon"
"You do not have a broker.","Vi ne havas makleriston."
"Meat","Viando"
"Fish","Fiþo"
"Trap Baited:","Kaptilo Allogigita:"
"This visitor is ready to leave.","Æi-vizitanto estas preta elmoviøi."
"This visitor has come ","Æi-vizitanto venis "
"to pray","preøi"
"to study","studi"
"to relax","malstreæiøi"
"to perform","interpreti"
"seeking work as a performer","celante laboro pri interpretisto"
"seeking work as a scholar","seræas laboron kiel klerulo"
"for diplomacy","por diplomatio"
" at "," æe "
" was the place to admire fine architecture."," estis la loko admiri fajnan ar¶itekturon."
" was the place to perform research."," estis la loko fari esploradon."
" was the place for long-term scholarship."," estis la loko por longa klereco."
"he","li"
"she","þi"
"didn't feel ","ne sentis "
"doesn't feel ","ne sentas "
"was ","estis "
"is ","estas "
"felt ","sentis "
"feels ","sentas "
"was in ","estis je "
"is in ","estas je "
"annoyed","æagreniøinta"
"satisfied","satecon"
"grouchy","incitiøema"
"grumpy","grumblemon"
"fondness","tenerecon"
"suspicious","suspekton"
"alarmed","alarmsenton"
"shocked","þokitan"
"horrified","hororigita"
"grim satisfaction","malice kontenta"
"grieved","funebris"
"grieves","funebras"
"triumph","triumfo"
"raged","furioza"
"rages","furiozas"
"excited","emociiøitan"
"gaiety","gajeto"
"sad","tristan"
"joy","øojego"
"blissful","feliæega"
"love","amo"
"vengeful","venøeman"
"accepting","akceptanta"
"admiration","admirego"
"adoration","adoro"
"affection","afekcio"
"agitated","agititan"
"aggravated","agacitan"
"agony","agonio"
"alienated","fremdiøita"
"amazed","mirintan"
"ambivalent","hezita"
"amused","amuzatan"
"angry","kolera"
"anguish","dolorego"
"anxious","aksian"
"apathetic","apatia"
"aroused","eksciitan"
"astonished","suprizitan"
"aversion","abomeno"
"awe","admiro"
"bitter","amaran"
"bored","enuita"
"caring","kareso"
"confused","konfuzitan"
"contemptuous","malestimantan"
"content","kontenta"
"dejected","melankolia"
"delighted","ravitan"
"despair","malespero"
"disappointed","malkontentigitan"
"disgusted","naýzetita"
"disillusioned","disiluziiøintan"
"dislike","malþateco"
"dismayed","konsternitan"
"displeasure","malplezuro"
"distressed","angoran"
"eager","avidetan"
"elated","øojan"
"embarrassed","hontetan"
"empathy","kunsento"
"empty","malplena"
"enjoyment","øuo"
"exasperated","malpacienciøita"
"exhilarated","animata"
"afraid","timeganta"
"ferocity","feroceco"
"free","senpaga"
"frightened","timanta"
"frustrated","frustrita"
"gleeful","gajegan"
"gloomy","sentantan splenon"
"glum","morozan"
"gratitude","dankemecon"
"guilty","kulpan"
"happy","feliæan"
"hateful","malamindan"
"hope","espero"
"hopeless","senesperanta"
"humiliated","humiliøanta"
"insulted","ofendita"
"interested","interesata"
"irritated","irititan"
"isolated","izolitan"
"jolly","gajan"
"jovial","jovialan"
"jubilant","jubilantan"
"loathing","abomenego"
"lonely","solecan"
"lustful","avidan"
"miserable","mizeran"
"mortified","turmentan"
"nervous","nervozan"
"nostalgic","nostalgian"
"optimistic","optimisman"
"outraged","indignegan"
"panicked","estis panikita"
"panics","estas panikita"
"patient","pacientan"
"passionate","pasia"
"pleasure","plezuron"
"proud","fiera"
"enraptured","ekstazintan"
"rejected","malakceptita"
"relieved","malpezigitan"
"regretful","bedaýrintan"
"remorseful","sentanta rimorson"
"repentant","pentintan"
"resentful","rankoritan"
"restless","maltrankvilan"
"indignant","indignan"
"self-pity","memkompaton"
"servile","servileco"
"shaken","skuiøanta"
"ashamed","hontitan"
"sympathy","simpatio"
"tenderness","tenero"
"terrified","teruritan"
"thrilled","ekscititan"
"uneasy","malkomforta"
"unhappy","malfeliæa"
"wonder","mirego"
"worried","koncerna"
"wrathful","kolerega"
"zealous","fervora"
"existential crisis","ekzistadan krizon"
"defeated","malvenkita"
"expectant","atendanta"
"doubt","dubo"
"enthusiastic","entuziasman"
"pessimistic","pesimisman"
"euphoric","eýforion"
"anything","io ajn"
"reliving ","respertante "
"dwelling upon ","remaæante pri "
"remembering ","memorante "
" to rethink "," repensi "
"Building","Konstrua¼o"
"biography","biografio"
"autobiography","aýtobiografio"
"poem","poemo"
"play","ludi"
"musical composition","kompana¼o"
"choreography","¶oreografio"
"comparative biography","kompara biografio"
"biographical dictionary","biografia enciklopedio"
"genealogy","genealogio"
"encyclopedia","enciklopedio"
"cultural history","kulturhistorio"
"cultural comparison","kultura komparado"
"alternate history","ukrono"
"treatise on technological evolution","traktato pri la te¶nologia evoluo"
"dictionary","vortaro"
"star chart","stela karto"
"star catalogue","stela katalog"
"atlas","maparo"
" Wall Grate"," Murkrado"
"Squad Order","Taæmenta Ordo"
"A dance","Danco"
"began.","komencis."
" days' travel"," -taga vojaøo"
"More than a day's travel","Plurtaga vojaøo"
"A day's travel","Taga vojaøo"
"Nearly a day's travel","Preskaý unu taga vojaøo"
"A half day's travel","Duontaga vojaøo"
"A short trip","Vojaøeto"
"Inaccessible from your location","Nealirebla el via loko"
"Unnamed ","Nenomiøita "
"[ATTACK:EDGE:10:50:lash:lashes:NO_SUB:2000]","[ATTACK:EDGE:10:50:frapas:frapas:NO_SUB:2000]"
"Trade Agreement (Exports to ","Komerca Konvencio (Eksporta¼oj al "
"Rescue ","Savi "
"This mission cannot be altered now.","Æi tiu misio nun ne povas esti aliigita."
"On this mission","Je æi-misio"
"Claimed by your local government","Pretendita de via loka regado"
"Claimed by local ","Pretendita de loka "
"Claimed by local family","Pretendita de loka familio"
"Artifacts","Artefaktoj"
"Done","Farita"
"is truly fulfilled by assisting those in need","estas vere plenumita helpante tiujn, kiuj bezonas"
" claimed "," pretendis "
" became "," iøis "
"his","sia"
"her","sia"
" in "," en "
" founded "," fondis "
" by "," de "
" gave up on their occupation of "," rezignis øian okupo de "
" from "," de "
"Saving jobs...","Savante taskojn..."
"Saving projectiles...","Savante pafilojn..."
"Saving buildings...","Savante konstrua¼ojn..."
"Saving mandates...","Savante komisiojn..."
"Saving world events...","Savante mondajn eventojn..."
"Saving written content...","Savante skribitan enhavon..."
"Saving world information...","Savante mondan informon..."
"Saving active historical figures...","Konservante aktivajn histori-figurojn..."
"Closing file...","Fermante dosieron..."
"Mining","Minado"
"Woodcutting","Arbohakado"
"Planting","Plantado"
"Save","Registri"
"Quit","Forlasi"
"Settings","Agordoj"
"Mountainhome","Montohejmo"
"Track playing: ","Muzika¼o ludata: "
"Last track: ","Antaýa muzika¼o: "
"Interlude playing: ","Interludo ludata: "
"Last interlude: ","Antaýa interludo: "
"The game is open-ended and you can do whatever you choose.  If you'd like a goal, try to become a barony, then a Mountainhome. ","Æi tiu ludo estas malferma, kaj vi povas fari kion ajn vi elektas. Se vi deziras celon, provu fariøi baronlando, poste Montohejmo. "
"More likely, your dwarves will starve, unless you read the first few guides here! ","Pli verþajne, viaj dvarfoj malsatos, krom se vi ne legos la unuaj gvidiloj tie æi! "
"And remember: [C:2:0:1]Losing is fun![C:7:0:0]","Kaj memoru: [C:2:0:1]Perdi estas amuza![C:7:0:0]"
"Abandoned","Forlasita"
"Your settlement has been abandoned.","Via setlejo estis forlasita."
"Conquered","Konkerita"
"Start tutorial","Komencu lernilo"
"Skip tutorial","Salti lernilon"
"Move the camera","Movigu la kameraon"
"Move the camera up","Movigu la kameraon supren"
"Move the camera down","Movigu la kameraon suben"
"Zoom in","Zomu"
"Zoom out","Malzomu"
"Open mining mode","Malfermu minadan reøimon"
"Start stairway","Komencu þtuparejon"
"End stairway","Finigu þtuparejon"
"Unpause","Malpaýzu"
"Finish mining","Finigu minadon"
"Room completed (","Æambroj finigitaj ("
" of 20)"," el 20)"
"Open stockpile mode","Malfermu deponejan reøimon"
"Place All stockpile","Metu deponejon pri Æio"
"Open tree-felling mode","Malfermu arbo-faladan reøimon"
"Chop down tree","Faligu arbon"
"Stockpile wood","Deponu lignon"
"Open building mode","Malfermu konstruadan reøimon"
"Place carpenter's workshop","Metu æarpentistan metiejon"
"Construct workshop","Starigu metiejon"
"Click workshop","Alklaku metiejon"
"Add a ""Make bed"" task","Aldonu taskon ""Fari liton"""
"Make the bed","Faru la liton"
"Place a bed","Metu liton"
"Click a citizen or creature","Alklaku civitanon aý esta¼on"
"Close the information sheet","Fermu la informfolion"
"Dismiss the large red alert","Forigu la grandan ruøan atentigon"
"Click the help button","Alklaku la helpbutonon"
"Don't show again","Ne montru denove"
"Okay","Bone"
"Next","Poste"
"Welcome to Dwarf Fortress","Bonvenon al Dwarf Fortress"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Preparu gvidi viajn fortajn sturmojn al riæa¼o en mondo plena de multaj danøeroj. "
"You'll begin by creating your world and watching the region's history unfold. ","Vi komencos krei vian mondon kaj spekti la historion de la regiono disvolviøi. "
"Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. ","Iam æi tiu procezo estas kompleta, vi povas prepari grupon kaj elsendi øi seræi riæecon profunde en la montoj. "
"As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. ","Dum vi estos fosante pli profunde kaj civitanoj estos ekloøante en vian setlejon, viaj agoj altiros atentojn, kaj dezirotajn kaj nedezirotajn. "
"Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.","Traktu defiojn kiam ili aperos, kaj vi eble trovos, ke via setlejo kreskis por fariøi Montohejmo, la centro de via civilizacio."
